"","filename","type","object","suffix","func","modal","preN","c_adjunct","clause_ID","year","author","wgr","large_region","lcinf","lclet","class"
"77","1_1_f1540","verb","clause","ing","adjunct","_","bare","_",0.9,1543,"KatherineBellenden","female","South-East","Lothian","Edinburgh","unspecified"
"84","1_1_f1540","verb","N","and","root","_","bare","_",0.1,1543,"KatherineBellenden","female","South-East","Lothian","Edinburgh","unspecified"
"123","100_82_f1600","verb","N","ing","adjunct","_","bare","_",0.4,1640,"IsobelMcIntosh","female","Unlocalised","unlocalised","Moy","unspecified"
"128","100_82_f1600","verb","N","ing","adjunct","_","bare","_",0.4,1640,"IsobelMcIntosh","female","Unlocalised","unlocalised","Moy","unspecified"
"135","100_82_f1600","verb","clause","ing","root","_","bare","_",0.5,1640,"IsobelMcIntosh","female","Unlocalised","unlocalised","Moy","unspecified"
"155","100_82_f1600","verb","PP","ing","adjunct","_","bare","_",0.5,1640,"IsobelMcIntosh","female","Unlocalised","unlocalised","Moy","unspecified"
"161","100_82_f1600","verb","N","ing","root","_","bare","adv",0.6,1640,"IsobelMcIntosh","female","Unlocalised","unlocalised","Moy","unspecified"
"179","101_83_f1600","noun","PP","ing","Pcomp","_","pos","_",0.2,1620,"GricellMenzies,LadyGrandtully","female","Central","Perthshire","Grandtully","unspecified"
"196","101_83_f1600","noun","clause","ing","obj","_","indef","_",0.5,1620,"GricellMenzies,LadyGrandtully","female","Central","Perthshire","Grandtully","unspecified"
"219","101_83_f1600","noun","none","ing","Pcomp","_","bare","_",0.8,1620,"GricellMenzies,LadyGrandtully","female","Central","Perthshire","Grandtully","unspecified"
"246","101_83_f1600","verb","N","ing","adjunct","_","bare","_",0.14,1620,"GricellMenzies,LadyGrandtully","female","Central","Perthshire","Grandtully","unspecified"
"248","101_83_f1600","noun","no","ing","Pcomp","_","bare","_",0.14,1620,"GricellMenzies,LadyGrandtully","female","Central","Perthshire","Grandtully","unspecified"
"272","102_84_f1600","noun","none","ing","Pcomp","_","pos","_",0.3,1612,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"296","102_84_f1600","verb","N","ing","adjunct","_","bare","_",0.7,1612,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"370","102_84_f1600","noun","PP","ing","Pcomp","_","det","_",0.21,1612,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"381","102_84_f1600","noun","none","ing","Pcomp","_","pos","_",0.22,1612,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"398","102_84_f1600","noun","none","ing","Pcomp","_","pos","_",0.25,1612,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"401","102_84_f1600","verb","N","ing","root","_","bare","adv",0.26,1612,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"405","102_84_f1600","verb","clause","ing","root","_","bare","_",0.28,1612,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Edinburgh","unspecified"
"429","103_85_f1600","verb","clause","ing","root","_","bare","_",0.3,1615,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"452","103_85_f1600","noun","none","ing","adj-comp","_","det","_",0.9,1615,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"470","103_85_f1600","noun","none","ing","obj","_","bare","_",0.13,1615,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"482","104_86_f1600","verb","clause","ing","adjunct","_","bare","_",0.2,1615,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"543","104_86_f1600","hybrid","PP","ing","Pcomp","_","pos","_",0.7,1615,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"552","104_86_f1600","verb","N","ing","root","_","bare","_",0.8,1615,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"584","104_86_f1600","verb","N","ing","adjunct","_","bare","_",0.14,1615,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"589","104_86_f1600","noun","PP","ing","Pcomp","_","pos","_",0.14,1615,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"639","105_87_f1600","verb","PP","ing","conj","_","bare","neg",0.4,1618,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"655","105_87_f1600","verb","adjp","ing","adjunct","_","bare","_",0.8,1618,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"675","105_87_f1600","verb","N","ing","root","_","bare","adv",0.11,1618,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"680","105_87_f1600","verb","N","ing","root","_","bare","_",0.12,1618,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"712","106_88_f1600","verb","PP","ing","adjunct","_","bare","_",0.2,1618,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"733","106_88_f1600","verb","clause","ing","adjunct","_","bare","_",0.4,1618,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"736","106_88_f1600","verb","N","ing","adjunct","_","bare","_",0.5,1618,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"766","106_88_f1600","verb","clause","ing","adjunct","_","bare","_",0.1,1618,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"787","106_88_f1600","verb","N","ing","root","_","bare","adv",0.15,1618,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"790","106_88_f1600","verb","N","ing","Pcomp","_","bare","_",0.15,1618,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"796","106_88_f1600","noun","none","ing","sbj","_","pos","_",0.16,1618,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"798","106_88_f1600","verb","N","ing","root","_","bare","_",0.17,1618,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"839","107_89_f1600","verb","clause","ing","root","_","bare","adv",0.4,1618,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"860","107_89_f1600","noun","none","ing","Pcomp","_","bare","_",0.1,1618,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"878","107_89_f1600","noun","none","ing","adj-comp","_","det","_",0.13,1618,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"881","107_89_f1600","verb","N","ing","root","_","bare","_",0.14,1618,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"889","107_89_f1600","verb","N","ing","root","_","bare","_",0.15,1618,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"892","107_89_f1600","verb","N","ing","root","_","bare","_",0.16,1618,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"928","108_90_f1600","verb","clause","ing","adjunct","modal","bare","_",0.2,1620,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"931","108_90_f1600","verb","clause","ing","adjunct","_","bare","_",0.3,1620,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"977","108_90_f1600","verb","N","ing","adjunct","_","bare","loc_temp",0.18,1620,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
"981","108_90_f1600","verb","clause","ing","adjunct","_","bare","adv",0.18,1620,"MargaretMontgomery,CountessDowagerofWinton","female","South-East","Lothian","Seton","unspecified"
